userId,rating,heading,body,userAchievement,entityId,testimonialType,date(yyyy-mm-dd)
2ad4a040-9d00-11ea-8547-dcee7768842b,4.8,Thank you Goprep,"I scored 98.8% in 10th boards@CBSE. Being from Tripura, where we have limited resources it was difficult to get enough content to prepare and achieve good marks. BUT GROPREP made this totally easy. I can say that I succeed only under the guidance of GROPREP. ",NEET Aspirant,school-review,text,2020-11-24
5c6da930-79ba-11ea-97d3-9ae5d333e596,4.5,Best Team,"The faculty, mentors, my counsellor rather the whole team of Goprep is amazing.  Beena ma'am & Ved sir are the best teachers one can ever have.",JEE Aspirant,school-review,text,2020-11-24
63eb53a0-c408-11e9-a90b-90a1578b94e2,4.6,Best Quiz for Exam preparation,"Thank you Goprep. I completed a Mini Course and won a Mi band. I was so happy about that☺️☺️. I got that band today. Goprep helped me a lot in my preparation. I want to thank Sanjay sir & Beena ma'am  I attended all their quizzes and they were very useful in my preparation. my NEET exam went very well. I am expecting 610+😇😇. As I was not able to attend my coaching class, Goprep helped me to prepare well in this quarantine. Thank you so much Goprep 🙏🙏🙏.",NEET Aspirant,school-review,text,2020-11-24
4b2d39e0-a167-11ea-8713-1a3e3ec05111,4.5,Goprep is a great platform,Goprep  is a great platform. It has the best teachers. Doubts and issues are resolved instantly.  I am happy to be a student of Goprep family..... Thanks......,NEET Aspirant,school-review,text,2020-11-24
19748710-aecc-11ea-82ca-c79a881b2e8f,4.2,Join this platform for IIT JEE Preparation,"It is a nice platform for the preparation of any type of exam. I have joined this platform for my IIT JEE 2022  preparation through it's paid course and till now my experience is great. It is a nice combination of different types of resources with 24×7 doubt solving, regular live online classes, quizzes and dpps. Overall it is a great platform for preparation of any type of exam.

",JEE Aspirant,school-review,text,2020-11-24
fa903830-c9c4-11ea-b184-de7aa20d4651,4.3,Amazing App,"Goprep is an outstanding app, I used it in my Class 11 and found it is very helpful. The teachers are really amazing. The mock tests, monthly tests are very helpful.  The report card feature is very nice, it helped to analyse my performance and improve myself to get exam ready. ",JEE Aspirant,school-review,text,2020-11-24
dd8ba2b0-7afa-11ea-af09-2a8d8825932e,4.8,Brillant Teachers,"I am connected with Goprep for last 3 months and the experience is really awesome. The way of teaching of the experts is simply amazing which helps me remember things for a long time and will definitely help me crack the exam. Generally, there is a misconception among the parents as well as students that online education is not so effective but the way of teaching and clearing doubts at Goprep has made me fall in love with studies. The brilliant teachers from all over India are at Goprep simplify topics and make studies absolute fun! ",JEE Aspirant,school-review,text,2020-11-24
19a00700-728b-11ea-8a11-06cca98575f6,4.5,Very Good Experience,"I was enrolled in GOPREP's two year coaching program for JEE and had a very good experience. My concept got very clear. Also, I get assignment test series and difficult level  practice questions. It is very helpful in my preparation. Overall, my experince is very good. ",JEE Aspirant,school-review,text,2020-11-24
d01fbe20-7242-11e9-8834-0132b7e2cd61,4.6,Helped me a lot in board exam preparation,"""Well...,I scored 95%. I was very focussed in my studies and stood 1st in class. Everyone appreciated me including my all school teachers and family.
In my success, Goprep helped me a lot... From Goprep, I got many sample papers to solve which was further checked by Goprep Team. I also got verified answer of my every question on Goprep. It clarified my all doubts. I attended live classes regularly and quizzes which build up my confidence about board exam. One best thing, I found on Goprep is that I got a chance to learn form an IITian...""",10th,school-review,text,2020-11-24
85745dc0-7554-11ea-99dc-6432ea61807b,4.0,Boost up my preparation,Goprep test helped me know my potential and boost up my preparation,10TH,school-review,text,2020-11-24
